greedy_len	greedy_nanos
1359437.146652	31172624300
1362334.755997	31065869800
1363089.662693	31633988400
1360783.076414	31559276000
1354662.804589	31843883800
1365099.989809	32122968200
1361088.827976	31312596500
1365174.275057	31472420200
1357995.744718	31639688100
1362284.173452	31599778300
1362369.234651	31707015500
1356968.636718	31452821100
1359110.481682	31656892300
1360028.050852	31826220000
1367929.894156	31446982800
1369121.525463	31751975000
1361164.943054	31413052800
1361428.427855	31285726600
1362887.668360	31746772600
1362661.963461	31565682700
1365483.782778	31302452000
1362736.222277	31316848500
1359322.087581	31756292000
1361403.715073	31279815100
1359222.911538	32073969600
1360306.262175	31277264100
1357537.900531	31092628400
1362976.585697	31044056300
1366435.603075	31437165900
1362464.943217	31242439500
1358807.096853	31613500900
1369601.238945	31856873200
1363479.360601	31428357500
1369610.177499	32023615200
1362665.551373	31177240600
1362281.413490	31540189600
1362434.259428	31497061100
1359159.013990	31153150600
1363755.186431	31852097400
1352695.912658	31188146300
1359726.404787	31515777800
1366398.459269	31779434900
1362958.616100	32069207400
1362247.582571	31440701000
1365746.804595	31689115200
1367196.807210	31439472400
1366203.178312	31696334700
1359675.422038	31734532400
1364776.298637	31960326800
1362662.002931	31151619400
1363818.098361	31743900700
1362727.559645	31437557400
1357722.509621	30912998900
1361432.175689	30792070800
greedy_len	greedy_nanos
1362946.528359	19737578700
1364494.033010	19280318500
1366487.456731	19612269600
1359427.342204	20207302500
1363974.514384	20267485600
1363762.824069	20232582400
1356886.677075	20414959000
1363058.514749	20113229900
1365371.779750	20465753100
1366850.924153	21236399400
1363872.389797	19810833200
1360749.196696	20441170600
1363605.438560	20304000200
1360603.417985	20689383400
1358043.856633	20495194400
1361212.975358	20332807700
1359458.099767	20355607200
greedy_len	greedy_nanos
1359694.639500	15525106300
1367185.196178	14945804400
1367289.107304	15615561100
1366463.519710	15069898300
1365037.107128	14662804400
1363528.658413	14495441300
1360826.350372	15435998800
1362604.588575	15252311000
1366678.827389	15359896800
1361684.960145	15539075500
1365231.147505	15190384500
1361856.468979	15541297600
1364016.560130	15381472400
1364462.810278	15058975200
1362209.390043	14936476300
1363000.470634	15713065500
1358792.209276	14981471800
1360198.659481	14797941600
1361446.943605	15012476100
1357784.369937	15107044000
1355947.706415	15389909200
1360253.392017	14973074800
1364957.404818	15405389400
1354659.545965	15009335100
1362285.829999	15335479200
1370713.846300	14765885700
greedy_len	greedy_nanos
1362249.694247	14905667400
1366234.947556	14363966200
1359614.353513	14303767400
1368072.260001	14820868700
1363834.648109	14451839100
1359307.783627	14467806300
1361872.548820	14207357800
1360957.386935	14106329800
1360138.410369	14667602300
1361607.008961	13823484700
1361801.157171	14632065200
1364492.275863	14955346600
1356315.465579	14433003200
